date,category,region,units_sold,unit_price,sales,profit,margin_pct
2024-01-05,Books,South,46,16.18,744.28,356.42,47.9
2024-01-05,Food & Beverage,West,58,28.29,1640.82,335.06,20.4
2024-01-05,Clothing,North,22,19.79,435.38,190.91,43.8
2024-01-05,Books,South,1,9.24,9.24,3.65,39.5
2024-01-05,Clothing,North,58,21.04,1220.32,466.9,38.3
2024-01-06,Clothing,East,43,69.27,2978.61,1295.12,43.5
2024-01-06,Books,West,16,33.11,529.76,230.83,43.6
2024-01-06,Clothing,North,7,96.82,677.74,263.35,38.9
2024-01-06,Sports,West,56,196.6,11009.6,3904.81,35.5
2024-01-06,Electronics,North,26,443.73,11536.98,2585.17,22.4
2024-01-06,Electronics,South,13,143.9,1870.7,333.58,17.8
2024-01-06,Sports,South,18,120.83,2174.94,858.88,39.5
2024-01-06,Electronics,West,52,441.77,22972.04,4400.12,19.2
2024-01-07,Books,North,6,43.29,259.74,115.64,44.5
2024-01-07,Clothing,West,32,65.54,2097.28,1082.54,51.6
2024-01-07,Electronics,South,25,72.81,1820.25,310.82,17.1
2024-01-07,Sports,East,28,198.45,5556.6,2034.28,36.6
2024-01-08,Books,West,10,14.08,140.8,42.25,30.0
2024-01-08,Electronics,North,48,243.47,11686.56,1478.57,12.7
2024-01-08,Sports,South,4,225.74,902.96,213.12,23.6
2024-01-08,Clothing,North,39,25.46,992.94,511.82,51.5
2024-01-08,Sports,North,57,183.2,10442.4,3506.39,33.6
2024-01-08,Electronics,North,27,409.51,11056.77,2139.26,19.3
2024-01-08,Food & Beverage,East,14,36.89,516.46,125.42,24.3
2024-01-08,Food & Beverage,West,9,35.23,317.07,76.1,24.0
2024-01-08,Food & Beverage,North,1,29.47,29.47,11.19,38.0
2024-01-08,Electronics,North,35,194.95,6823.25,1054.03,15.4
2024-01-09,Electronics,South,24,179.73,4313.52,763.34,17.7
2024-01-09,Books,East,40,41.46,1658.4,722.45,43.6
2024-01-09,Books,North,43,39.27,1688.61,538.43,31.9
2024-01-09,Electronics,South,17,115.63,1965.71,263.24,13.4
2024-01-09,Books,South,18,15.31,275.58,82.25,29.8
2024-01-09,Food & Beverage,South,44,30.19,1328.36,309.24,23.3
2024-01-10,Food & Beverage,North,6,38.57,231.42,80.04,34.6
2024-01-10,Electronics,North,22,464.45,10217.9,2072.44,20.3
2024-01-10,Food & Beverage,South,48,22.39,1074.72,345.13,32.1
2024-01-10,Books,North,8,11.97,95.76,43.39,45.3
2024-01-10,Clothing,North,54,61.83,3338.82,1462.84,43.8
2024-01-10,Sports,South,3,88.32,264.96,105.93,40.0
2024-01-10,Electronics,East,14,384.79,5387.06,1113.51,20.7
2024-01-11,Books,West,40,31.98,1279.2,592.17,46.3
2024-01-11,Clothing,South,52,90.12,4686.24,2438.5,52.0
2024-01-11,Electronics,South,48,421.46,20230.08,4485.22,22.2
2024-01-11,Sports,South,18,56.93,1024.74,369.17,36.0
2024-01-11,Sports,North,55,156.56,8610.8,2238.07,26.0
2024-01-11,Sports,East,20,228.91,4578.2,1805.02,39.4
2024-01-12,Electronics,South,26,196.08,5098.08,1184.62,23.2
2024-01-12,Food & Beverage,East,42,29.32,1231.44,389.02,31.6
2024-01-12,Books,East,2,12.28,24.56,11.62,47.3
2024-01-12,Clothing,East,3,27.7,83.1,33.96,40.9
2024-01-12,Food & Beverage,West,39,49.29,1922.31,390.48,20.3
2024-01-13,Clothing,East,3,93.89,281.67,84.62,30.0
2024-01-13,Books,South,24,19.62,470.88,220.49,46.8
2024-01-13,Food & Beverage,East,43,45.32,1948.76,631.3,32.4
2024-01-13,Food & Beverage,East,43,24.55,1055.65,274.98,26.0
2024-01-13,Food & Beverage,South,13,21.53,279.89,103.02,36.8
2024-01-13,Clothing,East,26,76.16,1980.16,594.25,30.0
2024-01-13,Food & Beverage,South,28,36.32,1016.96,306.44,30.1
2024-01-13,Food & Beverage,West,29,24.9,722.1,160.84,22.3
2024-01-14,Clothing,North,19,79.49,1510.31,692.08,45.8
2024-01-14,Food & Beverage,North,53,55.02,2916.06,661.87,22.7
2024-01-14,Food & Beverage,South,52,12.56,653.12,120.75,18.5
2024-01-14,Clothing,West,40,104.22,4168.8,1326.54,31.8
2024-01-14,Sports,South,46,170.05,7822.3,2494.34,31.9
2024-01-14,Clothing,South,42,78.48,3296.16,1724.44,52.3
2024-01-14,Electronics,West,15,153.87,2308.05,564.4,24.5
2024-01-15,Sports,North,36,96.96,3490.56,1360.16,39.0
2024-01-15,Sports,South,52,121.25,6305.0,2056.86,32.6
2024-01-15,Books,East,49,38.35,1879.15,734.58,39.1
2024-01-15,Books,West,54,37.02,1999.08,704.8,35.3
2024-01-15,Clothing,West,29,42.22,1224.38,442.99,36.2
2024-01-15,Food & Beverage,West,41,15.77,646.57,173.26,26.8
2024-01-15,Food & Beverage,South,18,18.1,325.8,116.83,35.9
2024-01-15,Electronics,South,10,159.42,1594.2,335.12,21.0
2024-01-16,Clothing,North,27,66.47,1794.69,781.86,43.6
2024-01-16,Sports,North,14,254.03,3556.42,1059.44,29.8
2024-01-16,Books,North,55,41.61,2288.55,875.16,38.2
2024-01-16,Sports,North,23,110.26,2535.98,755.72,29.8
2024-01-16,Sports,South,32,69.61,2227.52,684.22,30.7
2024-01-16,Electronics,West,22,360.93,7940.46,1776.75,22.4
2024-01-16,Clothing,West,59,28.4,1675.6,763.34,45.6
2024-01-16,Electronics,West,38,317.04,12047.52,1488.15,12.4
2024-01-16,Sports,South,56,120.63,6755.28,1554.1,23.0
2024-01-17,Food & Beverage,South,30,17.74,532.2,176.82,33.2
2024-01-17,Sports,East,49,261.01,12789.49,3892.01,30.4
2024-01-17,Electronics,West,2,394.59,789.18,100.05,12.7
2024-01-17,Food & Beverage,South,42,7.28,305.76,113.58,37.1
2024-01-17,Electronics,North,16,188.29,3012.64,369.5,12.3
2024-01-17,Clothing,South,9,58.25,524.25,172.27,32.9
2024-01-17,Clothing,West,45,41.91,1885.95,739.71,39.2
2024-01-18,Books,North,50,39.35,1967.5,928.44,47.2
2024-01-18,Electronics,North,60,242.68,14560.8,3029.45,20.8
2024-01-18,Sports,West,46,72.41,3330.86,1127.23,33.8
2024-01-18,Clothing,North,45,110.53,4973.85,2549.46,51.3
2024-01-18,Books,North,51,45.41,2315.91,995.86,43.0
2024-01-18,Food & Beverage,West,43,21.68,932.24,262.14,28.1
2024-01-18,Food & Beverage,North,55,27.49,1511.95,420.38,27.8
2024-01-18,Sports,East,41,246.36,10100.76,3150.91,31.2
2024-01-19,Sports,South,47,133.28,6264.16,2193.03,35.0
2024-01-19,Books,West,30,21.94,658.2,275.22,41.8
2024-01-19,Food & Beverage,East,55,16.85,926.75,340.05,36.7
2024-01-19,Food & Beverage,West,16,38.77,620.32,182.36,29.4
2024-01-19,Sports,East,2,148.75,297.5,84.79,28.5
2024-01-20,Clothing,East,52,44.23,2299.96,850.79,37.0
2024-01-20,Books,East,36,8.74,314.64,147.27,46.8
2024-01-20,Electronics,South,47,225.63,10604.61,2037.92,19.2
2024-01-20,Clothing,West,42,89.74,3769.08,1553.03,41.2
2024-01-20,Electronics,North,19,199.03,3781.57,793.87,21.0
2024-01-20,Food & Beverage,East,31,31.4,973.4,242.13,24.9
2024-01-20,Books,East,23,32.02,736.46,230.0,31.2
2024-01-21,Clothing,North,47,40.5,1903.5,627.94,33.0
2024-01-21,Books,South,13,13.43,174.59,63.09,36.1
2024-01-21,Books,East,7,36.38,254.66,81.02,31.8
2024-01-21,Food & Beverage,South,20,5.07,101.4,29.08,28.7
2024-01-21,Food & Beverage,North,4,34.39,137.56,43.95,31.9
2024-01-21,Clothing,West,7,106.64,746.48,331.08,44.4
2024-01-22,Sports,West,22,69.14,1521.08,350.27,23.0
2024-01-22,Sports,North,53,47.48,2516.44,801.11,31.8
2024-01-22,Books,North,10,14.69,146.9,55.74,37.9
2024-01-22,Food & Beverage,North,16,11.88,190.08,63.28,33.3
2024-01-22,Books,South,50,22.25,1112.5,393.4,35.4
2024-01-22,Sports,East,56,171.9,9626.4,2943.43,30.6
2024-01-22,Books,North,40,44.53,1781.2,485.95,27.3
2024-01-23,Clothing,South,17,75.91,1290.47,437.81,33.9
2024-01-23,Clothing,North,11,17.57,193.27,79.75,41.3
2024-01-23,Books,West,19,9.04,171.76,54.32,31.6
2024-01-23,Food & Beverage,West,5,35.93,179.65,65.53,36.5
2024-01-23,Books,South,28,10.51,294.28,88.79,30.2
2024-01-23,Clothing,East,53,31.43,1665.79,524.57,31.5
2024-01-23,Food & Beverage,East,29,11.13,322.77,102.56,31.8
2024-01-23,Sports,East,33,159.97,5279.01,1623.57,30.8
2024-01-23,Books,North,57,25.1,1430.7,463.74,32.4
2024-01-23,Food & Beverage,North,6,17.6,105.6,33.25,31.5
2024-01-24,Books,North,49,33.94,1663.06,518.85,31.2
2024-01-24,Electronics,South,31,268.17,8313.27,1475.52,17.7
2024-01-24,Food & Beverage,South,38,22.15,841.7,288.58,34.3
2024-01-24,Electronics,West,23,251.51,5784.73,935.61,16.2
2024-01-24,Electronics,South,22,227.6,5007.2,923.38,18.4
2024-01-24,Sports,North,30,53.6,1608.0,434.93,27.0
2024-01-24,Electronics,West,56,296.13,16583.28,4120.21,24.8
2024-01-24,Books,West,27,9.73,262.71,97.0,36.9
2024-01-24,Books,West,41,22.15,908.15,237.82,26.2
2024-01-24,Food & Beverage,South,60,16.17,970.2,345.56,35.6
2024-01-25,Electronics,North,41,386.09,15829.69,2392.0,15.1
2024-01-25,Clothing,East,36,17.26,621.36,249.79,40.2
2024-01-25,Clothing,North,30,131.61,3948.3,1823.83,46.2
2024-01-25,Clothing,West,60,90.24,5414.4,2313.13,42.7
2024-01-25,Food & Beverage,West,54,26.71,1442.34,395.84,27.4
2024-01-25,Sports,South,25,63.54,1588.5,539.89,34.0
2024-01-25,Clothing,North,18,110.55,1989.9,1022.02,51.4
2024-01-26,Books,East,53,8.49,449.97,187.63,41.7
2024-01-26,Books,West,56,12.76,714.56,267.16,37.4
2024-01-26,Food & Beverage,East,36,41.3,1486.8,379.79,25.5
2024-01-26,Food & Beverage,South,45,14.17,637.65,163.62,25.7
2024-01-26,Sports,North,21,230.3,4836.3,1746.12,36.1
2024-01-26,Sports,West,43,211.42,9091.06,3185.54,35.0
2024-01-27,Sports,North,9,165.07,1485.63,502.2,33.8
2024-01-27,Electronics,West,7,300.9,2106.3,377.87,17.9
2024-01-27,Clothing,West,56,83.75,4690.0,1587.99,33.9
2024-01-27,Sports,East,22,180.43,3969.46,1188.84,29.9
2024-01-27,Electronics,East,55,381.39,20976.45,3972.33,18.9
2024-01-28,Sports,North,40,48.31,1932.4,669.06,34.6
2024-01-28,Food & Beverage,South,48,8.16,391.68,147.14,37.6
2024-01-28,Electronics,West,11,371.48,4086.28,970.27,23.7
2024-01-28,Electronics,East,51,108.75,5546.25,924.01,16.7
2024-01-28,Sports,South,16,135.26,2164.16,721.07,33.3
2024-01-28,Clothing,South,12,20.96,251.52,130.21,51.8
2024-01-29,Clothing,West,59,76.23,4497.57,1610.34,35.8
2024-01-29,Food & Beverage,West,17,35.01,595.17,214.13,36.0
2024-01-29,Sports,East,44,161.6,7110.4,1669.33,23.5
2024-01-29,Food & Beverage,East,41,50.71,2079.11,661.29,31.8
2024-01-29,Sports,East,13,272.85,3547.05,1385.72,39.1
2024-01-29,Electronics,South,25,288.19,7204.75,1402.95,19.5
2024-01-29,Food & Beverage,North,54,39.81,2149.74,504.97,23.5
2024-01-29,Books,North,59,31.52,1859.68,677.38,36.4
2024-01-30,Clothing,East,15,85.94,1289.1,586.83,45.5
2024-01-30,Clothing,North,58,93.02,5395.16,1671.72,31.0
2024-01-30,Sports,North,38,128.08,4867.04,1198.67,24.6
2024-01-30,Food & Beverage,East,48,24.88,1194.24,262.92,22.0
2024-01-30,Books,East,34,25.26,858.84,268.54,31.3
2024-01-30,Clothing,East,59,106.67,6293.53,2646.19,42.0
2024-01-31,Food & Beverage,East,52,10.69,555.88,207.11,37.3
2024-01-31,Clothing,South,56,77.41,4334.96,2031.37,46.9
2024-01-31,Sports,East,6,221.57,1329.42,296.17,22.3
2024-01-31,Books,North,30,22.76,682.8,288.33,42.2
2024-01-31,Food & Beverage,West,53,33.73,1787.69,454.6,25.4
2024-01-31,Clothing,West,2,80.05,160.1,85.78,53.6
2024-01-31,Food & Beverage,South,42,7.06,296.52,102.23,34.5
2024-01-31,Food & Beverage,West,8,11.29,90.32,33.35,36.9
2024-01-31,Food & Beverage,West,8,9.37,74.96,26.79,35.7
2024-01-31,Clothing,West,30,53.96,1618.8,869.85,53.7
2024-02-01,Books,West,38,31.75,1206.5,344.5,28.6
2024-02-01,Sports,North,54,124.29,6711.66,2024.39,30.2
2024-02-01,Food & Beverage,North,45,24.92,1121.4,301.29,26.9
2024-02-01,Clothing,East,7,123.9,867.3,339.84,39.2
2024-02-01,Food & Beverage,North,26,20.03,520.78,194.58,37.4
2024-02-01,Sports,North,43,66.91,2877.13,1000.95,34.8
2024-02-01,Electronics,North,51,253.08,12907.08,3208.01,24.9
2024-02-01,Books,South,5,31.1,155.5,58.7,37.7
2024-02-01,Books,South,53,32.25,1709.25,556.48,32.6
2024-02-02,Books,North,18,40.79,734.22,207.99,28.3
2024-02-02,Clothing,East,52,34.99,1819.48,846.54,46.5
2024-02-02,Electronics,South,1,207.42,207.42,46.15,22.2
2024-02-02,Books,East,2,14.25,28.5,7.47,26.2
2024-02-02,Sports,North,48,36.16,1735.68,537.46,31.0
2024-02-03,Books,North,29,27.74,804.46,376.04,46.7
2024-02-03,Electronics,East,30,367.71,11031.3,1368.43,12.4
2024-02-03,Sports,West,28,143.5,4018.0,1277.94,31.8
2024-02-03,Sports,North,58,39.72,2303.76,787.1,34.2
2024-02-03,Electronics,South,18,307.99,5543.82,1087.13,19.6
2024-02-03,Food & Beverage,West,39,28.88,1126.32,304.94,27.1
2024-02-04,Sports,North,51,168.27,8581.77,3351.68,39.1
2024-02-04,Books,South,28,20.2,565.6,171.12,30.3
2024-02-04,Food & Beverage,West,26,23.72,616.72,122.74,19.9
2024-02-04,Sports,East,43,69.17,2974.31,1221.6,41.1
2024-02-04,Sports,North,6,195.18,1171.08,279.47,23.9
2024-02-04,Electronics,East,52,141.38,7351.76,939.54,12.8
2024-02-04,Books,East,43,12.51,537.93,178.23,33.1
2024-02-04,Sports,North,19,147.28,2798.32,812.43,29.0
2024-02-05,Books,South,10,26.11,261.1,78.74,30.2
2024-02-05,Electronics,East,55,329.31,18112.05,2443.95,13.5
2024-02-05,Food & Beverage,South,52,21.88,1137.76,332.45,29.2
2024-02-05,Books,North,39,43.39,1692.21,745.89,44.1
2024-02-05,Food & Beverage,North,12,19.89,238.68,79.36,33.2
2024-02-05,Food & Beverage,East,1,13.82,13.82,2.88,20.9
2024-02-05,Sports,North,10,176.38,1763.8,730.85,41.4
2024-02-05,Electronics,South,25,230.7,5767.5,947.7,16.4
2024-02-06,Food & Beverage,East,50,49.73,2486.5,744.07,29.9
2024-02-06,Electronics,South,11,357.18,3928.98,496.89,12.6
2024-02-06,Electronics,East,29,375.91,10901.39,1996.44,18.3
2024-02-06,Sports,West,18,58.8,1058.4,341.3,32.2
2024-02-06,Food & Beverage,West,8,17.75,142.0,44.83,31.6
2024-02-06,Sports,East,3,62.68,188.04,78.39,41.7
2024-02-07,Electronics,South,20,429.33,8586.6,1886.95,22.0
2024-02-07,Food & Beverage,East,21,10.92,229.32,64.09,27.9
2024-02-07,Sports,South,9,79.59,716.31,258.4,36.1
2024-02-07,Books,East,5,21.74,108.7,45.73,42.1
2024-02-08,Electronics,West,59,112.7,6649.3,1068.53,16.1
2024-02-08,Sports,West,46,135.23,6220.58,1728.72,27.8
2024-02-08,Sports,North,21,58.58,1230.18,503.79,41.0
2024-02-08,Sports,East,6,103.54,621.24,149.83,24.1
2024-02-08,Sports,West,34,34.16,1161.44,457.73,39.4
2024-02-08,Food & Beverage,South,22,36.05,793.1,154.87,19.5
2024-02-08,Electronics,South,58,365.41,21193.78,3510.6,16.6
2024-02-09,Clothing,South,7,27.34,191.38,66.85,34.9
2024-02-09,Books,South,49,29.06,1423.94,380.66,26.7
2024-02-09,Sports,West,49,121.47,5952.03,1999.25,33.6
2024-02-09,Books,East,56,41.02,2297.12,741.31,32.3
2024-02-09,Sports,North,31,114.54,3550.74,996.21,28.1
2024-02-09,Food & Beverage,North,23,32.0,736.0,178.17,24.2
2024-02-09,Sports,North,4,99.33,397.32,110.22,27.7
2024-02-09,Electronics,West,30,323.74,9712.2,2370.26,24.4
2024-02-09,Electronics,West,59,420.12,24787.08,5074.88,20.5
2024-02-09,Food & Beverage,West,33,11.79,389.07,74.85,19.2
2024-02-10,Food & Beverage,North,33,39.19,1293.27,242.91,18.8
2024-02-10,Sports,West,34,114.09,3879.06,976.55,25.2
2024-02-10,Food & Beverage,East,25,24.56,614.0,152.07,24.8
2024-02-10,Books,North,51,32.42,1653.42,540.62,32.7
2024-02-11,Electronics,West,19,185.84,3530.96,814.61,23.1
2024-02-11,Books,South,22,9.55,210.1,84.59,40.3
2024-02-11,Food & Beverage,East,42,38.25,1606.5,415.11,25.8
2024-02-11,Books,North,20,29.77,595.4,236.97,39.8
2024-02-11,Food & Beverage,South,43,32.96,1417.28,523.57,36.9
2024-02-11,Books,North,42,33.87,1422.54,522.0,36.7
2024-02-12,Food & Beverage,East,12,50.19,602.28,149.57,24.8
2024-02-12,Sports,South,15,180.0,2700.0,677.67,25.1
2024-02-12,Food & Beverage,North,33,45.64,1506.12,522.66,34.7
2024-02-12,Books,North,43,21.59,928.37,395.72,42.6
2024-02-13,Books,West,10,13.19,131.9,58.2,44.1
2024-02-13,Books,South,47,19.8,930.6,320.59,34.4
2024-02-13,Clothing,West,40,44.92,1796.8,875.28,48.7
2024-02-13,Sports,South,35,56.75,1986.25,820.56,41.3
2024-02-13,Sports,South,24,127.89,3069.36,1025.42,33.4
2024-02-14,Sports,East,50,93.17,4658.5,1516.3,32.5
2024-02-14,Clothing,South,52,70.64,3673.28,1903.68,51.8
2024-02-14,Electronics,West,56,235.91,13210.96,3189.89,24.1
2024-02-14,Books,North,19,12.29,233.51,66.99,28.7
2024-02-14,Sports,South,54,88.87,4798.98,1964.14,40.9
2024-02-14,Clothing,West,57,51.71,2947.47,903.89,30.7
2024-02-14,Electronics,West,33,237.06,7822.98,1331.48,17.0
2024-02-15,Food & Beverage,South,2,17.41,34.82,6.96,20.0
2024-02-15,Food & Beverage,South,9,6.05,54.45,19.79,36.3
2024-02-15,Sports,South,49,132.3,6482.7,2007.82,31.0
2024-02-15,Electronics,North,2,215.61,431.22,98.55,22.9
2024-02-16,Books,West,8,32.84,262.72,80.04,30.5
2024-02-16,Electronics,North,16,294.78,4716.48,1052.75,22.3
2024-02-16,Sports,North,8,196.19,1569.52,502.19,32.0
2024-02-16,Books,North,41,28.17,1154.97,353.01,30.6
2024-02-16,Clothing,East,28,15.92,445.76,173.05,38.8
2024-02-16,Books,West,12,29.26,351.12,94.69,27.0
2024-02-16,Food & Beverage,North,34,33.91,1152.94,388.87,33.7
2024-02-16,Books,North,25,41.34,1033.5,268.72,26.0
2024-02-17,Food & Beverage,East,48,6.02,288.96,97.58,33.8
2024-02-17,Food & Beverage,South,47,31.11,1462.17,293.51,20.1
2024-02-17,Books,East,9,9.89,89.01,33.43,37.6
2024-02-17,Clothing,West,45,65.25,2936.25,1014.68,34.6
2024-02-17,Clothing,North,46,110.97,5104.62,2115.46,41.4
2024-02-17,Food & Beverage,South,3,36.54,109.62,39.15,35.7
2024-02-17,Food & Beverage,East,33,24.07,794.31,272.51,34.3
2024-02-18,Food & Beverage,North,49,39.23,1922.27,456.01,23.7
2024-02-18,Electronics,East,18,138.89,2500.02,419.61,16.8
2024-02-18,Sports,West,58,192.17,11145.86,3207.86,28.8
2024-02-18,Clothing,West,45,67.24,3025.8,1606.93,53.1
2024-02-18,Books,East,52,11.18,581.36,202.1,34.8
2024-02-18,Sports,South,35,65.59,2295.65,552.15,24.1
2024-02-18,Food & Beverage,East,20,26.32,526.4,170.31,32.4
2024-02-19,Sports,East,29,29.01,841.29,331.47,39.4
2024-02-19,Food & Beverage,West,18,33.78,608.04,205.7,33.8
2024-02-19,Electronics,North,43,399.92,17196.56,2875.79,16.7
2024-02-19,Clothing,North,10,119.73,1197.3,562.16,47.0
2024-02-19,Sports,North,9,36.92,332.28,124.84,37.6
2024-02-20,Food & Beverage,West,37,6.46,239.02,50.36,21.1
2024-02-20,Sports,East,24,104.9,2517.6,592.59,23.5
2024-02-20,Clothing,East,26,50.41,1310.66,484.51,37.0
2024-02-20,Electronics,North,48,181.86,8729.28,1635.05,18.7
2024-02-20,Books,North,17,37.72,641.24,264.15,41.2
2024-02-20,Clothing,East,45,116.79,5255.55,2222.05,42.3
2024-02-21,Clothing,North,29,38.1,1104.9,528.52,47.8
2024-02-21,Electronics,East,43,237.21,10200.03,1310.11,12.8
2024-02-21,Books,East,58,18.48,1071.84,306.79,28.6
2024-02-21,Clothing,East,33,40.47,1335.51,729.57,54.6
2024-02-22,Clothing,South,51,60.19,3069.69,1197.87,39.0
2024-02-22,Books,East,30,35.4,1062.0,400.25,37.7
2024-02-22,Books,North,5,20.58,102.9,49.38,48.0
2024-02-22,Sports,West,50,93.7,4685.0,1569.38,33.5
2024-02-22,Clothing,East,42,23.93,1005.06,418.57,41.6
2024-02-22,Books,East,9,37.9,341.1,146.49,42.9
2024-02-22,Books,South,50,35.03,1751.5,612.15,35.0
2024-02-22,Electronics,North,34,165.91,5640.94,797.66,14.1
2024-02-22,Food & Beverage,South,23,42.87,986.01,279.81,28.4
2024-02-22,Food & Beverage,North,17,15.91,270.47,100.42,37.1
2024-02-23,Clothing,East,40,74.57,2982.8,1269.61,42.6
2024-02-23,Clothing,South,11,75.75,833.25,400.09,48.0
2024-02-23,Books,East,54,39.44,2129.76,552.62,25.9
2024-02-23,Electronics,North,3,550.15,1650.45,363.48,22.0
2024-02-23,Food & Beverage,South,50,27.67,1383.5,420.06,30.4
2024-02-23,Electronics,West,57,343.41,19574.37,3086.04,15.8
2024-02-24,Sports,South,52,148.79,7737.08,2330.55,30.1
2024-02-24,Sports,North,45,35.4,1593.0,490.52,30.8
2024-02-24,Sports,West,14,81.23,1137.22,282.86,24.9
2024-02-24,Food & Beverage,East,26,11.43,297.18,75.52,25.4
2024-02-24,Books,North,21,18.1,380.1,105.74,27.8
2024-02-24,Sports,South,10,33.68,336.8,93.64,27.8
2024-02-25,Books,West,16,38.81,620.96,284.11,45.8
2024-02-25,Food & Beverage,East,13,41.31,537.03,150.18,28.0
2024-02-25,Books,West,32,36.13,1156.16,421.3,36.4
2024-02-25,Electronics,West,33,272.04,8977.32,1358.22,15.1
2024-02-25,Books,East,4,10.1,40.4,14.7,36.4
2024-02-25,Sports,East,35,22.55,789.25,190.6,24.1
2024-02-25,Clothing,East,47,56.08,2635.76,1056.45,40.1
2024-02-26,Sports,North,37,139.3,5154.1,1507.6,29.3
2024-02-26,Food & Beverage,North,25,31.85,796.25,265.06,33.3
2024-02-26,Food & Beverage,North,9,56.21,505.89,130.91,25.9
2024-02-26,Food & Beverage,East,49,12.07,591.43,177.72,30.0
2024-02-27,Books,North,3,10.63,31.89,13.21,41.4
2024-02-27,Sports,West,10,129.13,1291.3,417.22,32.3
2024-02-27,Food & Beverage,East,11,23.82,262.02,79.47,30.3
2024-02-27,Food & Beverage,East,33,44.39,1464.87,419.64,28.6
2024-02-27,Books,East,31,35.81,1110.11,371.58,33.5
2024-02-27,Electronics,West,38,209.22,7950.36,1882.96,23.7
2024-02-27,Electronics,West,17,486.17,8264.89,1832.97,22.2
2024-02-28,Books,South,47,8.68,407.96,147.07,36.1
2024-02-28,Books,West,10,34.29,342.9,104.83,30.6
2024-02-28,Books,North,13,9.9,128.7,41.46,32.2
2024-02-28,Clothing,West,45,36.41,1638.45,697.09,42.5
2024-02-28,Books,West,56,35.15,1968.4,821.42,41.7
2024-02-28,Clothing,South,36,44.22,1591.92,741.13,46.6
2024-02-28,Books,West,21,38.61,810.81,288.42,35.6
2024-02-28,Books,East,35,20.3,710.5,303.78,42.8
2024-02-28,Food & Beverage,West,13,48.08,625.04,147.39,23.6
2024-02-28,Food & Beverage,South,20,35.73,714.6,229.37,32.1
2024-02-29,Sports,East,31,86.92,2694.52,1095.97,40.7
2024-02-29,Food & Beverage,East,8,32.35,258.8,74.7,28.9
2024-02-29,Sports,East,50,173.07,8653.5,2406.46,27.8
2024-02-29,Food & Beverage,North,23,53.57,1232.11,383.43,31.1
2024-02-29,Sports,South,13,152.13,1977.69,542.34,27.4
2024-02-29,Books,East,9,12.07,108.63,45.67,42.0
2024-02-29,Clothing,South,4,76.8,307.2,132.94,43.3
2024-02-29,Clothing,North,7,67.16,470.12,225.35,47.9
2024-02-29,Electronics,South,1,436.59,436.59,107.89,24.7
2024-03-01,Sports,West,31,137.1,4250.1,1577.56,37.1
2024-03-01,Food & Beverage,East,19,35.77,679.63,245.75,36.2
2024-03-01,Electronics,South,35,351.22,12292.7,2834.0,23.1
2024-03-01,Electronics,South,27,405.49,10948.23,1563.98,14.3
2024-03-01,Electronics,West,51,288.06,14691.06,3551.7,24.2
2024-03-02,Food & Beverage,North,1,21.19,21.19,6.37,30.1
2024-03-02,Food & Beverage,East,30,51.98,1559.4,450.14,28.9
2024-03-02,Sports,South,55,99.68,5482.4,1505.29,27.5
2024-03-02,Electronics,East,11,406.42,4470.62,913.25,20.4
2024-03-02,Clothing,North,48,57.96,2782.08,1039.82,37.4
